Invoice Number	Invoice Date	Country of Origin	HS Code	Mat. NO.		Description	Default	Quantity	Weight per PC (kg)	Unit Price (per batch)	Price per PC	Total Price	Currency
59638685	30.01.2026	CZ	870870	57H601011G	87087000	Spare Wheel	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	18	54.94	1 /PC	164.82	EUR
59638685	30.01.2026	DE	870829	57H805588J	87082900	Front panel	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.4	16.72	1 /PC	50.16	EUR
59638685	30.01.2026	CZ	870810	57H807101MF7C	#N/A	"BUMPER,FRONT"	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	11.82	467.45	1 /PC	467.45	EUR
59638685	30.01.2026	CZ	870810	57H807101MS9R	#N/A	"BUMPER,FRONT"	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	11.82	467.45	1 /PC	934.9	EUR
59638685	30.01.2026	CZ	870810	57H807301CF7C	87081090	REAR BUMPER	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	6	143.78	1 /PC	143.78	EUR
59638685	30.01.2026	CZ	870810	57H807301CS9R	87081090	REAR BUMPER	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	2	6	133.76	1 /PC	267.52	EUR
59638685	30.01.2026	CZ	870829	57H867427FZTB	87082900	Trunk lining	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.399	29.76	1 /PC	89.28	EUR
59638685	30.01.2026	CZ	870829	57H867428EZTB	87082900	Trunk lining	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.175	30.81	1 /PC	92.43	EUR
59638685	30.01.2026	CZ	870829	57H867975B4PK	87082900	Trim panel for hatch gate	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	2.5	995.31	100 /PC	29.85	EUR
59638685	30.01.2026	CZ	940120	57H881031JCIH	#N/A	FRONT SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	15	255.89	1 /PC	767.67	EUR
59638685	30.01.2026	CZ	940120	57H881032JCIH	#N/A	FRONT SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	16	252.46	1 /PC	757.38	EUR
59638685	30.01.2026	CZ	940120	57H881041JCIH	#N/A	FRONT SEAT BACKRES	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	10	227.58	1 /PC	682.74	EUR
59638685	30.01.2026	CZ	940120	57H881042JCIH	#N/A	FRONT SEAT BACKRES	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	10	256.08	1 /PC	768.24	EUR
59638685	30.01.2026	UA	940199	57H885031CII	94019900	REAR SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	4	86.29	1 /PC	258.87	EUR
59638685	30.01.2026	UA	940199	57H885032CII	94019900	REAR SEAT	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	4	78.51	1 /PC	235.53	EUR
59638685	30.01.2026	PL	940199	57H885041CII	94019900	REAR SEAT BACKREST	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	19	330.44	1 /PC	991.32	EUR
59638685	30.01.2026	PL	940199	57H885042CII	94019900	REAR SEAT BACKREST	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	19	252.37	1 /PC	757.11	EUR
